experiment,architecture,security,topology,mode,attempt_id,attempt_key,round_ref,global_accuracy,global_loss,round_duration_sec,local_gateway_count,local_train_events,local_accuracy_avg,local_loss_avg,local_samples_total,fog_fedavg_events,fog_accuracy_avg,fog_loss_avg,edge_rpi_events,edge_rpi_p95_ms,edge_rpi_avg_wire_bytes,rpi_pc_events,rpi_pc_p95_ms,rpi_pc_avg_wire_bytes,pc_rpi_events,pc_rpi_p95_ms,pc_rpi_avg_wire_bytes,total_transport_events,total_transport_p95_ms
CNN_ASCON,CNN,ASCON,standard,ascon,4,CNN_ASCON#4,19,1.0,0.013726,59.0,2.0,2.0,1.0,0.0137263261713087,60.0,,,,60.0,4.667649999999999,232.0,2,11.66845,4962.0,1,10.19,4818.0,69,31.5294
CNN_ASCON,CNN,ASCON,standard,ascon,4,CNN_ASCON#4,20,1.0,0.034302,59.0,2.0,2.0,1.0,0.0343023684399668,60.0,,,,60.0,4.4994,232.66666666666666,2,11.44905,4958.0,1,14.179,4814.0,69,31.371599999999994
CNN_ASCON,CNN,ASCON,standard,ascon,5,CNN_ASCON#5,1,0.916667,0.529727,,2.0,2.0,0.9166666567325592,0.5297265499830246,60.0,,,,63.0,4.6566,234.0793650793651,2,12.6183,4994.0,1,11.304,4854.0,70,22.896049999999946
CNN_ASCON,CNN,ASCON,standard,ascon,5,CNN_ASCON#5,2,0.983333,0.143371,53.0,2.0,2.0,0.9833333194255829,0.1433712616562843,60.0,,,,58.0,4.53575,233.06896551724137,2,10.646799999999999,4980.0,1,10.791,4830.0,67,34.5348
CNN_ASCON,CNN,ASCON,standard,ascon,5,CNN_ASCON#5,3,1.0,0.044974,63.0,2.0,2.0,1.0,0.0449739377945661,60.0,,,,62.0,4.7017,234.16129032258064,2,12.2271,4982.0,1,14.259,4826.0,71,33.7585
CNN_ASCON,CNN,ASCON,standard,ascon,5,CNN_ASCON#5,4,0.916667,0.188442,60.0,2.0,2.0,0.9166666567325592,0.18844220833852884,60.0,,,,60.0,4.40625,233.2,2,11.95135,4982.0,1,12.395,4842.0,69,35.23659999999998
CNN_ASCON,CNN,ASCON,standard,ascon,5,CNN_ASCON#5,5,0.916667,0.256825,59.0,2.0,2.0,0.9166666567325592,0.2568250955082476,60.0,,,,60.0,4.25605,229.13333333333333,2,11.2454,4966.0,1,12.778,4854.0,69,35.27979999999998
CNN_ASCON,CNN,ASCON,standard,ascon,5,CNN_ASCON#5,6,0.966667,0.11266,59.0,2.0,2.0,0.9666666686534882,0.1126596955582499,60.0,,,,60.0,4.5279,231.06666666666666,2,12.415949999999999,4978.0,1,12.795,4846.0,69,32.48839999999999
CNN_ASCON,CNN,ASCON,standard,ascon,5,CNN_ASCON#5,7,0.933333,0.158134,59.0,2.0,2.0,0.9333333373069763,0.15813398594036696,60.0,,,,60.0,4.33075,232.0,2,11.1118,4970.0,1,12.339,4826.0,69,34.30119999999999
CNN_ASCON,CNN,ASCON,standard,ascon,5,CNN_ASCON#5,8,0.966667,0.12786,59.0,2.0,2.0,0.9666666686534882,0.12785970931872725,60.0,,,,60.0,4.4992,233.8,2,11.5951,4970.0,1,13.457,4838.0,69,33.08519999999999
